2780.537640000003,21
2314.3358400000025,17
1799.6810800000019,13
1358.8527200000015,10
1201.4900400000015,9
881.360640000001,7
514.0668400000008,4
337.5854400000005,3
266.01772000000017,3
234.76068000000055,3
257.92672000000056,2
415.04512000000057,3
3955.227400000004,28
4627.205840000004,34
2304.8413600000026,17
1883.6620400000024,14
1494.3256400000018,11
1402.2949200000019,11
1195.7655200000013,9
727.9584400000007,6
427.6129600000006,6
385.67044000000044,4
417.19324000000057,4
334.66124000000053,3
326.60788000000036,3
383.0877600000005,3
4306.672160000004,32
5832.282480000006,43
3355.836520000004,25
1931.9211200000022,16
1766.3766800000021,13
1278.3382000000015,10
1253.8736800000015,10
634.3618400000005,5
467.05080000000083,4
401.1717200000005,4
426.8074800000003,4
255.0938000000003,2
377.32116000000053,4
286.18840000000034,3
6116.943320000007,45
6542.006200000008,47
3409.046640000004,25
3066.2045200000034,22
2452.042480000003,18
1806.666960000002,13
1524.3680400000017,12
1138.0614400000015,10
805.056520000001,7
710.2134400000008,6
394.1999600000003,5
547.1556400000006,4
417.02876000000055,4
387.9973200000006,4
5693.783720000007,41
6545.325160000008,48
