110.32,20.02,4496
110.34,20.02,3147
110.34,19.98,1924
110.3,20.02,1904
110.32,20.0,1867
110.34,20.04,1708
110.34,20.0,1622
110.3,20.0,1501
110.36,20.0,1499
110.36,20.02,1405
110.28,20.0,1403
110.36,19.98,1277
110.46,19.92,1008
110.32,19.98,934
110.32,20.06,603
110.28,19.98,552
110.32,20.04,542
110.3,19.98,540
110.34,20.06,384
110.28,20.02,348
110.26,20.0,290
110.32,19.96,255
110.42,19.96,211
110.34,19.96,197
110.38,19.98,185
110.36,20.04,161
110.26,19.98,161
110.46,19.94,137
110.36,19.96,124
110.38,19.96,103
110.2,20.0,91
110.3,20.06,81
110.18,20.04,78
110.28,19.96,76
110.4,20.04,67
110.22,20.02,66
110.26,19.96,64
110.24,20.0,62
110.3,19.96,60
110.36,20.06,57
110.46,19.98,46
110.38,20.02,46
110.3,20.04,46
110.48,19.96,39
110.24,20.02,38
110.42,19.94,33
110.16,20.02,28
110.44,19.94,27
110.4,19.96,25
110.5,19.96,24
110.26,20.02,24
110.4,20.0,22
110.2,20.04,22
110.5,19.98,18
110.48,19.92,17
110.32,19.9,16
110.14,20.04,16
110.44,19.96,15
110.4,20.02,15
110.48,19.94,14
110.4,19.98,14
110.4,20.06,13
110.42,19.92,12
110.34,19.94,9
110.28,19.94,9
110.38,20.0,8
110.22,20.0,8
110.26,19.92,7
110.18,20.02,7
110.46,19.96,6
110.44,19.92,6
110.24,19.98,6
110.2,20.02,5
110.22,20.04,4
110.16,20.04,4
110.48,19.98,3
110.42,20.04,3
110.42,19.98,3
110.38,20.06,3
110.26,19.88,3
110.4,19.92,2
110.36,19.92,2
110.36,19.84,2
110.26,19.94,2
110.52,19.98,1
110.5,19.94,1
110.44,19.98,1
110.42,20.0,1
110.4,19.86,1
110.4,19.74,1
110.36,20.08,1
110.36,19.9,1
110.36,19.68,1
110.34,19.92,1
110.34,19.9,1
110.32,20.08,1
110.32,19.94,1
110.24,19.92,1
110.18,20.0,1
110.18,19.98,1
110.16,19.98,1
