104.072,30.656
103.954,30.57
104.094,30.66
104.072,30.658
104.078,30.692
104.07,30.654
104.074,30.694
104.076,30.688
104.056,30.672
104.074,30.686
104.086,30.638
104.076,30.69
104.066,30.67
104.06,30.722
104.144,30.672
103.958,30.578
104.112,30.668
103.974,30.68
104.094,30.678
104.104,30.684
104.07,30.652
104.14,30.628
104.078,30.664
104.072,30.702
104.096,30.698
104.07,30.656
104.052,30.676
104.102,30.67
104.086,30.676
104.054,30.694
103.954,30.574
104.088,30.64
104.104,30.668
104.102,30.68
104.074,30.688
104.048,30.676
104.046,30.69
104.068,30.672
104.046,30.716
104.114,30.668
104.106,30.656
104.09,30.694
104.11,30.71
104.102,30.668
104.07,30.658
104.118,30.66
104.112,30.672
104.1,30.656
104.098,30.7
104.066,30.654
