104.08,30.64,1787
104.08,30.66,1508
104.04,30.66,1490
104.06,30.66,1452
104.06,30.64,1447
104.1,30.66,1279
104.04,30.68,970
104.06,30.68,804
104.1,30.64,692
104.08,30.68,625
104.08,30.62,613
104.04,30.7,539
104.04,30.64,485
104.06,30.62,458
104.06,30.7,450
104.1,30.68,439
104.08,30.7,411
104.12,30.66,407
104.02,30.68,407
104.02,30.66,380
104.1,30.7,347
104.02,30.64,310
104.0,30.66,283
104.04,30.62,255
104.06,30.6,245
104.0,30.68,213
104.02,30.62,182
104.0,30.64,146
104.1,30.62,128
104.02,30.7,122
104.12,30.64,114
103.98,30.66,114
103.94,30.56,104
104.08,30.6,103
104.04,30.72,102
104.06,30.76,97
104.04,30.6,97
103.96,30.66,97
104.0,30.62,95
104.14,30.62,94
104.0,30.7,90
104.06,30.72,81
104.1,30.6,78
104.06,30.58,74
104.12,30.6,71
104.04,30.76,68
104.12,30.62,58
103.98,30.64,56
104.04,30.54,51
103.98,30.7,48
104.12,30.68,44
104.04,30.74,43
104.14,30.68,41
104.06,30.74,40
104.16,30.68,38
104.14,30.64,38
104.16,30.7,37
104.02,30.72,37
104.18,30.64,36
103.96,30.74,33
103.98,30.62,32
104.14,30.6,31
103.98,30.74,30
104.06,30.54,28
104.04,30.58,28
104.02,30.74,28
104.02,30.6,27
104.1,30.74,26
104.08,30.54,24
103.98,30.68,24
103.98,30.6,24
104.08,30.74,21
104.06,30.56,21
103.94,30.66,21
104.16,30.64,20
104.12,30.7,20
104.1,30.72,20
104.1,30.58,19
103.96,30.72,19
103.96,30.68,19
104.16,30.8,18
104.16,30.62,18
104.0,30.76,18
104.06,30.52,17
104.02,30.58,17
104.12,30.58,16
104.0,30.72,15
103.98,30.56,15
104.12,30.76,14
104.1,30.76,14
104.04,30.56,14
104.04,30.5,14
104.0,30.56,14
103.96,30.64,14
103.96,30.56,14
104.18,30.82,13
104.14,30.58,13
104.08,30.58,13
104.06,30.5,13
104.04,30.52,13
104.14,30.78,12
104.14,30.74,12
104.16,30.6,11
104.06,30.8,11
103.94,30.78,11
104.14,30.66,10
103.98,30.72,10
104.16,30.66,9
104.12,30.72,9
104.0,30.6,9
103.98,30.58,9
103.96,30.76,9
103.94,30.76,9
104.18,30.8,8
104.02,30.76,8
103.98,30.82,8
103.9,30.56,8
103.84,30.68,8
104.2,30.56,7
104.16,30.82,7
103.96,30.6,7
103.94,30.68,7
103.92,30.56,7
103.82,30.68,7
104.18,30.56,6
104.14,30.7,6
104.02,30.54,6
103.98,30.76,6
104.24,30.56,5
104.16,30.58,5
104.14,30.8,5
104.14,30.76,5
104.08,30.76,5
103.92,30.74,5
103.92,30.66,5
104.14,30.82,4
104.08,30.72,4
104.08,30.52,4
104.04,30.78,4
104.02,30.8,4
103.96,30.78,4
103.96,30.7,4
103.96,30.62,4
104.26,30.56,3
104.24,30.52,3
104.22,30.64,3
104.18,30.68,3
104.08,30.56,3
104.04,30.48,3
104.02,30.48,3
103.98,30.8,3
103.98,30.54,3
103.94,30.72,3
103.94,30.62,3
103.92,30.76,3
103.9,30.74,3
103.9,30.6,3
103.86,30.7,3
103.86,30.66,3
104.3,30.6,2
104.24,30.54,2
104.22,30.78,2
104.16,30.78,2
104.12,30.8,2
104.12,30.56,2
104.1,30.54,2
104.06,30.78,2
104.06,30.48,2
104.04,30.8,2
104.02,30.78,2
104.02,30.56,2
104.02,30.52,2
104.0,30.74,2
104.0,30.54,2
103.96,30.58,2
103.96,30.52,2
103.94,30.74,2
103.94,30.7,2
103.92,30.78,2
103.9,30.54,2
103.88,30.8,2
103.88,30.76,2
103.88,30.66,2
103.86,30.68,2
104.3,30.58,1
104.28,30.58,1
104.28,30.56,1
104.26,30.72,1
104.26,30.64,1
104.24,30.64,1
104.2,30.74,1
104.2,30.72,1
104.2,30.58,1
104.18,30.72,1
104.16,30.76,1
104.16,30.56,1
104.16,30.54,1
104.14,30.54,1
104.14,30.46,1
104.12,30.78,1
104.12,30.74,1
104.1,30.84,1
104.1,30.56,1
104.08,30.8,1
104.08,30.48,1
104.06,30.82,1
104.02,30.82,1
104.0,30.88,1
104.0,30.82,1
104.0,30.58,1
103.98,30.48,1
103.96,30.82,1
103.96,30.54,1
103.94,30.98,1
103.94,30.64,1
103.94,30.6,1
103.94,30.58,1
103.92,30.98,1
103.92,30.8,1
103.92,30.72,1
103.92,30.68,1
103.92,30.54,1
103.9,30.8,1
103.9,30.76,1
103.88,30.78,1
103.88,30.62,1
103.82,30.7,1
103.8,30.64,1
103.78,30.74,1
