5834.224160000004,41
4662.695280000003,34
3660.2219600000017,26
2943.5396800000026,22
2431.7980800000014,18
1800.9213600000014,15
1116.5574000000006,9
808.5324000000003,7
771.1502800000003,6
643.3743600000001,6
934.2986399999999,6
884.3074399999999,6
7945.3590800000065,57
9435.290080000008,68
4975.781040000002,36
4113.445560000002,29
3326.237840000002,25
3119.6383200000023,23
2665.6016800000016,19
1816.9852800000012,13
1230.5201200000006,10
1025.8982800000006,8
1071.8468000000003,8
820.4360800000001,6
771.3713599999999,6
1024.7192400000001,7
8891.943520000006,63
11909.455640000011,84
6853.394960000004,49
4263.507640000003,31
3791.0385200000023,28
2741.885480000002,20
2701.4237600000024,20
1547.358480000001,12
1179.2410800000005,9
1040.6819600000003,8
919.8387600000001,7
810.2683600000001,6
1057.48392,7
931.2268799999999,7
12544.66820000001,88
13573.297760000007,95
7161.737280000004,50
6311.821680000004,45
5057.865560000001,37
3865.968880000002,29
3436.964520000002,26
2564.6397600000023,19
1964.8652000000016,15
1546.706400000001,12
1239.6930400000008,10
1113.7926800000002,8
984.7930400000002,7
1124.95628,8
11810.60764000001,83
13480.293320000013,95
